category,name,link,price,updated_date
mixers,Monin Bubble Gum Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-bubble-gum-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.226911
mixers,Monin Butterfly Pea Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-butterfly-pea-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.229191
mixers,Monin Caramel Flavoured Sauce 1.89L,https://www.cheers.com.np//liquor/product/monin-caramel-flavoured-sauce-1-89l,"Rs. 3,000",2024-05-11 11:04:48.230817
mixers,Monin Caramel Syrup 1L,https://www.cheers.com.np//liquor/product/monin-caramel-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.245015
mixers,Monin Chai Tea Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-chai-tea-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.248951
mixers,Monin Coconut Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-coconut-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.254818
mixers,Monin Curacao Triple Sec Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-curacao-triple-sec-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.257656
mixers,Monin Dark Chocolate Flavoured Sauce 1.89L,https://www.cheers.com.np//liquor/product/monin-dark-chocolate-flavoured-sauce-1-89l,"Rs. 3,000",2024-05-11 11:04:48.257656
mixers,Monin Elder Flower Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-elder-flower-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.264469
mixers,Monin Green Apple Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-green-apple-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.275844
mixers,Monin Green Mint Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-green-mint-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.275844
mixers,Monin Grenadine Syrup 1L,https://www.cheers.com.np//liquor/product/monin-grenadine-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.275844
mixers,Monin Hazelnut Syrup 1L,https://www.cheers.com.np//liquor/product/monin-hazelnut-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.275844
mixers,Monin Kiwi Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-kiwi-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.285388
mixers,Monin Lemon Tea Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-lemon-tea-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.293462
mixers,Monin Lemonade Concentrate Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-lemonade-concentrate-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.297387
mixers,Monin Matcha Green Tea Frappe Base 1KG,https://www.cheers.com.np//liquor/product/monin-matcha-green-tea-frappe-base-1kg,"Rs. 2,550",2024-05-11 11:04:48.301948
mixers,Monin Mojito Mint Syrup 1L,https://www.cheers.com.np//liquor/product/monin-mojito-mint-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.305400
mixers,Monin Passion Fruit Puree 1L,https://www.cheers.com.np//liquor/product/monin-passion-fruit-puree-1l,"Rs. 2,750",2024-05-11 11:04:48.308712
mixers,Monin Passion Fruit Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-passion-fruit-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.314399
mixers,Monin Peach Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-peach-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.320119
mixers,Monin Peach Tea Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-peach-tea-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.322907
mixers,Monin Pump For Fruit Purees And Sauces 15ML,https://www.cheers.com.np//liquor/product/monin-pump-for-fruit-purees-and-sauces-15ml,Rs. 420,2024-05-11 11:04:48.325666
mixers,Monin Raspberry Fruit Puree 1L,https://www.cheers.com.np//liquor/product/monin-raspberry-fruit-puree-1l,"Rs. 2,750",2024-05-11 11:04:48.327320
mixers,Monin Rose Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-rose-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.327320
mixers,Monin Strawberry Fruit Puree 1L,https://www.cheers.com.np//liquor/product/monin-strawberry-fruit-puree-1l,"Rs. 2,750",2024-05-11 11:04:48.332335
mixers,Monin Strawberry Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-strawberry-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.335634
mixers,Monin Vanilla Syrup 1L,https://www.cheers.com.np//liquor/product/monin-vanilla-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.335634
mixers,Monin Violet Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-violet-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.335634
mixers,Rose Bouquet (11 Flowers),https://www.cheers.com.np//liquor/product/rose-bouquet-11-flowers,"Rs. 1,740",2024-05-11 11:04:48.335634
mixers,Rose Bouquet (3 Flowers),https://www.cheers.com.np//liquor/product/rose-bouquet-3-flowers,Rs. 685,2024-05-11 11:04:48.345157
snacks,Manjun Double Roasted Seaweed 25G (2.5G X 10's),https://www.cheers.com.np//grocery/product/manjun-double-roasted-seaweed-25g-2-5g-x-10s,Rs. 500,2024-05-11 11:04:51.422653
snacks,Haldiram's Mexilla Mexican Tomato Classic Tortilla Chips 55G,https://www.cheers.com.np//grocery/product/haldirams-mexilla-mexican-tomato-classic-tortilla-chips-55g,Rs. 60,2024-05-11 11:04:51.425955
snacks,Divella 10-Vermicellini 500G,https://www.cheers.com.np//grocery/product/divella-10-vermicellini-500g,Rs. 315,2024-05-11 11:04:51.429491
